word,Type of Word,Attribute Class
closer,Attribute,Location
theater,Attribute,Location
treatment,Attribute,Service
figure,Attribute,Service
az,Attribute,Location
earlier,Attribute,Context
ambience,Attribute,Ambiance
clothes,Attribute,Service
lobby,Attribute,Ambiance
design,Attribute,Ambiance
doors,Attribute,Ambiance
hummus,Attribute,Food
patrons,Attribute,Service
health,Attribute,Food
requested,Attribute,Service
drove,Attribute,Location
windows,Attribute,Ambiance
dumplings,Attribute,Food
wifi,Attribute,Ambiance
answered,Attribute,Service
host,Attribute,Service
training,Attribute,Service
poutine,Attribute,Food
miles,Attribute,Location
deals,Attribute,Price
chicago,Attribute,Location
response,Attribute,Service
stage,Attribute,Ambiance
tax,Attribute,Price
lighting,Attribute,Ambiance
bike,Attribute,Location
refund,Attribute,Price
wrapped,Attribute,Food
burnt,Attribute,Food
upstairs,Attribute,Ambiance
garden,Attribute,Ambiance
tempura,Attribute,Food
des,Attribute,Location
bathrooms,Attribute,Ambiance
bringing,Attribute,Service
spending,Attribute,Price
gel,Attribute,Food
chair,Attribute,Ambiance
bottles,Attribute,Food
cupcakes,Attribute,Food
deli,Attribute,Food
suite,Attribute,Ambiance
waiters,Attribute,Service
ground,Attribute,Location
garage,Attribute,Location
band,Attribute,Ambiance
specialty,Attribute,Food
waitresses,Attribute,Service
tech,Attribute,Ambiance
site,Attribute,Location
serves,Attribute,Service
mile,Attribute,Location
miso,Attribute,Food
rent,Attribute,Price
college,Attribute,Location
stomach,Attribute,Food
wood,Attribute,Ambiance
polish,Attribute,Food
dealership,Attribute,Service
craft,Attribute,Ambiance
noise,Attribute,Ambiance
budget,Attribute,Price
handle,Attribute,Service
travel,Attribute,Location
tips,Attribute,Price
drunk,Attribute,Food
crew,Attribute,Service
dipping,Attribute,Food
comment,Attribute,Service
sliced,Attribute,Food
equipment,Attribute,Ambiance
organic,Attribute,Food
melted,Attribute,Food
valet,Attribute,Service
costs,Attribute,Price
steamed,Attribute,Food
madison,Attribute,Location
terms,Attribute,Context
reminded,Attribute,Service
margaritas,Attribute,Food
hanging,Attribute,Ambiance
studio,Attribute,Location
tower,Attribute,Location
dj,Attribute,Ambiance
far,Attribute,Location
carpet,Attribute,Ambiance
gyro,Attribute,Food
events,Attribute,Context
managed,Attribute,Service
decorated,Attribute,Ambiance
suggestions,Attribute,Service
internet,Attribute,Ambiance
dancing,Attribute,Ambiance
produce,Attribute,Food
receipt,Attribute,Price
tvs,Attribute,Ambiance
parties,Attribute,Context
distance,Attribute,Location
tempe,Attribute,Location
smoking,Attribute,Ambiance
treats,Attribute,Food
fry,Attribute,Food
books,Attribute,Ambiance
maintenance,Attribute,Ambiance
clients,Attribute,Service
season,Attribute,Context
floors,Attribute,Ambiance
watched,Attribute,Service
cuts,Attribute,Food
flavours,Attribute,Food
melt,Attribute,Food
account,Attribute,Price
smelled,Attribute,Ambiance
snacks,Attribute,Food
dressed,Attribute,Context
pepperoni,Attribute,Food
hat,Attribute,Service
traffic,Attribute,Location
layout,Attribute,Ambiance
base,Attribute,Ambiance
sake,Attribute,Food
energy,Attribute,Ambiance
bowls,Attribute,Food
burritos,Attribute,Food
clubs,Attribute,Ambiance
teriyaki,Attribute,Food
popcorn,Attribute,Food
views,Attribute,Ambiance
gentleman,Attribute,Service
cab,Attribute,Location
wines,Attribute,Food
cupcake,Attribute,Food
ring,Attribute,Ambiance
shots,Attribute,Food
fridge,Attribute,Food
gourmet,Attribute,Food
display,Attribute,Ambiance
tub,Attribute,Ambiance
fountain,Attribute,Ambiance
downstairs,Attribute,Ambiance
describe,Attribute,Service
mike,Attribute,Service
entertainment,Attribute,Ambiance
paint,Attribute,Ambiance
pickles,Attribute,Food
ac,Attribute,Ambiance
theme,Attribute,Ambiance
southern,Attribute,Food
plaza,Attribute,Location
bagels,Attribute,Food
fees,Attribute,Price
boys,Attribute,Service
charges,Attribute,Price
leftovers,Attribute,Food
shuttle,Attribute,Location
selling,Attribute,Price
towels,Attribute,Ambiance
smoothie,Attribute,Food
chopped,Attribute,Food
ceiling,Attribute,Ambiance
colors,Attribute,Ambiance
clothing,Attribute,Service
appointments,Attribute,Service
foie,Attribute,Food
shredded,Attribute,Food
coke,Attribute,Food
samples,Attribute,Food
fashion,Attribute,Ambiance
worker,Attribute,Service
repairs,Attribute,Ambiance
businesses,Attribute,general
chat,Attribute,Service
martini,Attribute,Food
flowers,Attribute,Ambiance
address,Attribute,Location
payment,Attribute,Price
lake,Attribute,Ambiance
salted,Attribute,Food
oily,Attribute,Food
coupons,Attribute,Price
cabbage,Attribute,Food
omelette,Attribute,Food
prepare,Attribute,Service
sticks,Attribute,Food
enchiladas,Attribute,Food
elevator,Attribute,Ambiance
mary,Attribute,Name
coleslaw,Attribute,Food
diet,Attribute,Food
wing,Attribute,Food
toilet,Attribute,Ambiance
penny,Attribute,Price
lemonade,Attribute,Food
edinburgh,Attribute,Location
beverage,Attribute,Food
draft,Attribute,Food
female,Attribute,Service
container,Attribute,Food
cutting,Attribute,Food
train,Attribute,Location
client,Attribute,Service
brings,Attribute,Service
coast,Attribute,Location
feed,Attribute,Food
program,Attribute,general
hill,Attribute,Location
quesadilla,Attribute,Food
indoor,Attribute,Ambiance
beach,Attribute,Location
stocked,Attribute,Food
wraps,Attribute,Food
nyc,Attribute,Location
welcomed,Attribute,Service
grease,Attribute,Food
reserved,Attribute,Service
movies,Attribute,Location
bistro,Attribute,Ambiance
quantity,Attribute,Food
beverages,Attribute,Food
greet,Attribute,Service
philly,Attribute,Location
receptionist,Attribute,Service
fusion,Attribute,Food
teas,Attribute,Food
explaining,Attribute,Service
blend,Attribute,Food
hall,Attribute,Ambiance
paris,Attribute,Location
falafel,Attribute,Food
palace,Attribute,Ambiance
chandler,Attribute,Ambiance
cleanliness,Attribute,Ambiance
yard,Attribute,Ambiance
texas,Attribute,Location
theatre,Attribute,Location
cheeseburger,Attribute,Food
brew,Attribute,Food
marinated,Attribute,Food
pools,Attribute,Ambiance
stairs,Attribute,Ambiance
trips,Attribute,Location
amenities,Attribute,Ambiance
assured,Attribute,Service
pickled,Attribute,Food
background,Attribute,Ambiance
levels,Attribute,Ambiance
bubble,Attribute,Food
communication,Attribute,Service
meatball,Attribute,Food
china,Attribute,Location
cooks,Attribute,Service
irish,Attribute,Food
rack,Attribute,Ambiance
restroom,Attribute,Ambiance
tree,Attribute,Ambiance
voice,Attribute,Ambiance
guac,Attribute,Food
cramped,Attribute,Ambiance
buck,Attribute,Price
village,Attribute,Location
casinos,Attribute,Ambiance
napkins,Attribute,Ambiance
buds,Attribute,Food
waren,Attribute,Location
male,Attribute,Service
dresses,Attribute,Service
couch,Attribute,Ambiance
designed,Attribute,Ambiance
bruschetta,Attribute,Food
managers,Attribute,Service
los,Attribute,Location
reception,Attribute,Service
chow,Attribute,Food
hipster,Attribute,Ambiance
smoothies,Attribute,Food
songs,Attribute,Ambiance
braised,Attribute,Food
wheat,Attribute,Food
garbage,Attribute,Ambiance
locally,Attribute,Location
oyster,Attribute,Food
ca,Attribute,Location
hamburger,Attribute,Food
district,Attribute,Location
walmart,Attribute,Location
farm,Attribute,Location
roof,Attribute,Ambiance
shakes,Attribute,Food
listened,Attribute,Service
saving,Attribute,Price
refilled,Attribute,Food
fruits,Attribute,Food
corned,Attribute,Food
wallet,Attribute,Price
church,Attribute,Location
mal,Attribute,Location
waitstaff,Attribute,service
dinners,Attribute,Food
